n_receipts,n_anomalies,percent
13,7,0.5384615384615384
14,0,0.0
4,0,0.0
10,0,0.0
1,1,1.0
10,9,0.9
28,0,0.0
5,4,0.8
12,2,0.16666666666666666
17,9,0.5294117647058824
6,5,0.8333333333333334
6,0,0.0
1,1,1.0
17,3,0.17647058823529413
14,1,0.07142857142857142
2,1,0.5
3,0,0.0
17,3,0.17647058823529413
17,2,0.11764705882352941
3,0,0.0
29,5,0.1724137931034483
1,1,1.0
19,0,0.0
24,0,0.0
13,0,0.0
7,0,0.0
26,5,0.19230769230769232
7,3,0.42857142857142855
1,0,0.0
16,0,0.0
26,5,0.19230769230769232
24,0,0.0
3,0,0.0
4,1,0.25
5,0,0.0
21,6,0.2857142857142857
1,0,0.0
4,1,0.25
9,0,0.0
1,0,0.0
2,1,0.5
2,1,0.5
44,7,0.1590909090909091
2,0,0.0
1,0,0.0
15,5,0.3333333333333333
10,0,0.0
7,0,0.0
11,0,0.0
17,0,0.0
2,0,0.0
12,1,0.08333333333333333
10,0,0.0
2,0,0.0
8,0,0.0
1,0,0.0
1,0,0.0
27,22,0.8148148148148148
14,0,0.0
10,0,0.0
5,3,0.6
2,1,0.5
36,33,0.9166666666666666
1,1,1.0
18,0,0.0
20,2,0.1
17,1,0.058823529411764705
23,6,0.2608695652173913
31,0,0.0
12,0,0.0
37,17,0.4594594594594595
12,0,0.0
7,0,0.0
3,1,0.3333333333333333
4,0,0.0
3,1,0.3333333333333333
1,0,0.0
9,8,0.8888888888888888
5,4,0.8
5,4,0.8
11,1,0.09090909090909091
8,8,1.0
27,0,0.0
10,0,0.0
15,1,0.06666666666666667
21,1,0.047619047619047616
19,2,0.10526315789473684
17,0,0.0
6,4,0.6666666666666666
5,0,0.0
25,0,0.0
19,0,0.0
1,0,0.0
1,0,0.0
82,49,0.5975609756097561
14,4,0.2857142857142857
2,0,0.0
20,0,0.0
14,4,0.2857142857142857
1,0,0.0
4,0,0.0
1,0,0.0
5,0,0.0
4,0,0.0
20,1,0.05
3,0,0.0
2,1,0.5
36,17,0.4722222222222222
2,0,0.0
4,0,0.0
20,0,0.0
15,11,0.7333333333333333
20,0,0.0
15,1,0.06666666666666667
18,0,0.0
9,6,0.6666666666666666
7,0,0.0
1,0,0.0
26,4,0.15384615384615385
7,7,1.0
14,1,0.07142857142857142
292,0,0.0
16,0,0.0
1,0,0.0
26,0,0.0
3,0,0.0
7,0,0.0
19,0,0.0
10,0,0.0
3,0,0.0
3,0,0.0
19,0,0.0
15,0,0.0
23,0,0.0
29,5,0.1724137931034483
11,0,0.0
1,0,0.0
9,0,0.0
349,347,0.994269340974212
12,0,0.0
3,0,0.0
20,0,0.0
8,0,0.0
31,0,0.0
15,0,0.0
3,1,0.3333333333333333
3,0,0.0
10,0,0.0
2,0,0.0
22,0,0.0
10,1,0.1
42,35,0.8333333333333334
2,0,0.0
5,0,0.0
5,0,0.0
21,11,0.5238095238095238
7,4,0.5714285714285714
4,2,0.5
23,7,0.30434782608695654
8,1,0.125
44,0,0.0
3,1,0.3333333333333333
13,0,0.0
12,0,0.0
3,0,0.0
17,0,0.0
19,0,0.0
28,0,0.0
15,1,0.06666666666666667
1,0,0.0
2,0,0.0
16,0,0.0
18,0,0.0
79,0,0.0
1,0,0.0
1,1,1.0
5,0,0.0
12,0,0.0
6,4,0.6666666666666666
24,0,0.0
4,1,0.25
29,2,0.06896551724137931
18,6,0.3333333333333333
13,0,0.0
1,0,0.0
13,0,0.0
55,9,0.16363636363636364
18,0,0.0
2,0,0.0
35,4,0.11428571428571428
1,0,0.0
10,0,0.0
143,138,0.965034965034965
1,0,0.0
5,1,0.2
15,0,0.0
35,0,0.0
